reviewId,review,score,gender,location,date,sentiment,Tópico_Dominante
8080,Good.music.app,4,male,"Boston, United States",2019-01-22,positivo,0
8081,Love you guys great music,4,male,"Rabat, Morocco",2018-05-08,positivo,2
8082,To downlod music,4,male,"Denver, United States",2018-09-21,positivo,2
8083,I like it,4,male,"Boston, United States",2018-12-16,positivo,0
8084,"nice app, has got all the musics I want 🤙",4,male,"Toronto, Canada",2019-05-31,positivo,2
8085,"The latest update is so bad. The app will stop loading any content at random intervals throughout the day. When it happens, Music buffers endlessly, search results get stuck loading, none of the navigation panels load up. The only way to fix it is to force close the app and reopen. Not something you can do if you're driving. If you download music and then delete the downloads to free up space, you can't ever play the song again unless you remove and reinstall the app.",4,female,"Brisbane, Australia",2020-02-24,positivo,1
8086,Apple music please upgrade to 'bit perfect' audio streaming..we are Audiopile community waiting.,4,male,"San Francisco, United States",2019-06-09,positivo,2
8087,Good music app with new features,4,female,"Bogotá, Colombia",2020-01-17,positivo,0
8088,The music I love and grew up listening to. Amazing...,4,male,"Singapore, Singapore",2017-11-21,positivo,2
8089,I need a Podcast here 😊,4,male,"Ho Chi Minh City, Vietnam",2017-11-13,positivo,2
8090,somehow i can't seem to be able to access my 'replay' for the month of April.,4,male,"Quebec City, Canada",2018-07-29,positivo,2
8091,"It is good, high quality. But I need to renew my subscription even though I never had to at all.",4,male,"Harare, Zimbabwe",2018-06-06,positivo,2
8092,"as an iphone user trying android, apple music availability was more than wellcome. at least i didnt have to start over curating my playlist. somehow i cannot find audio only feature as its available in ip. not sure if that hardware relate algorythem that prevent it. just felt incomplete. but rest i found no issue. integration on auto and watch also work fine. if only they allow more personal data cross sharing (icloud as service please)",4,male,"Kumasi, Ghana",2018-05-31,positivo,0
8093,it good and it has good music,4,female,"Rio de Janeiro, Brazil",2020-01-18,positivo,0
8094,"Nobody likes commercials, whether they are music related or not. Fewer displays of Apple money makers would be appreciated and enjoyed.",4,male,"Tunis, Tunisia",2018-05-26,positivo,1
8095,I think am enjoying this app more thsn any app,4,male,"Berlin, Germany",2017-08-26,positivo,0
8096,The music quality is excellent. There seems to be a bug though. Somehow the music quality is linked to wifi streaming quality and mobile data streaming quality even for downloaded music for some reason. I listen on pure flat response and I can tell the difference as I toggle between these options while the downloaded music is playing. There is also a slight hitch while switching. I tried with no internet too and still the same. Why are these happening for downloaded music?,4,female,"Melbourne, Australia",2020-02-11,positivo,0
8097,Best app for Audiophiles Best lossless audio you can get in any app in India Downloading is a bit complicated should add seperate download only button on every songs And yes payment methods is very complicated 99/month they deserve that in india Else everything is very smooth and very good optimised on Android too Lossless works flawlessly,4,female,"Auckland, New Zealand",2020-03-27,positivo,2
8098,Most reliable ones big up,4,male,"Vancouver, Canada",2019-03-26,positivo,1
8099,"Works well. The Playlist creation and radio features are nice. wish the radio had more subgenre options (hardcore, ska) as the punk station seems pretty limited on those genres. Also wish this worked with ""hey google"".",4,male,"Seattle, United States",2018-09-29,positivo,1
8100,sometimes didn't let me select a song and didn't play,4,female,"Asunción, Paraguay",2019-12-07,positivo,1
8101,it's actually not that bad,4,male,"Casablanca, Morocco",2018-03-09,positivo,1
8102,Trio L,4,male,"Paris, France",2017-09-10,positivo,1
8103,"I have discovered something interesting, the app in windows has airplay to cast music to airplay devices, It would be awesome this feature arrive to android phones to use in airplay devices too.",4,male,"Johannesburg, South Africa",2018-06-17,positivo,0
8104,laggy sometimes,4,male,"Quebec City, Canada",2019-05-06,positivo,0
8105,Good when it works,4,male,"Abuja, Nigeria",2018-06-15,positivo,0
8106,Good music quality,4,male,"Lyon, France",2017-05-28,positivo,2
8107,"Works as should,I love the Dolby Atmos sound quality on some songs",4,male,"Tunis, Tunisia",2018-04-30,positivo,2
8108,At lease warn before subscription ends...,4,female,"Valparaíso, Chile",2020-01-03,positivo,1
8109,Great,4,female,"Córdoba, Argentina",2019-11-08,positivo,1
8110,it's really buggy,4,male,"Jacksonville, United States",2019-07-30,positivo,0
8111,Excellent,4,male,"Helsinki, Finland",2017-05-10,positivo,0
8112,"Using Apple Music on a Samsung phone. I'm a traitor... Honestly, I just didn't wanna pay for Spotify Premium anymore lol. Good app, no crashing, just a takes a bit for songs to load when you first open the app.",4,male,"Milan, Italy",2017-05-25,positivo,0
8113,"It's a 4 because Apple is so expensive and you still have to pay for this, you can get a FREE Spotify account and if you don't want ads then that is where money is introduced.",4,male,"Philadelphia, United States",2019-07-05,positivo,2
8114,It has a bug I think it would be better if you fix that The app uses battery more than telegram even if still isn't logged in by me! Thanks for your supporting,4,male,"Washington DC, United States",2018-10-05,positivo,0
8115,Please add a stable cast button.,4,female,"Christchurch, New Zealand",2020-04-27,positivo,0
8116,I love this on iphone cuz it's less buggy but that's the marketing trick right? I mainly wish it had an auto install like on my old iphone,4,male,"Mexico City, Mexico",2018-08-28,positivo,0
8117,"I enjoy listening to my downloads when I'm in a offline area, but I always get a message saying I am offline. I thought when I play my downloaded music, it plays my internal memory without the need for Internet connection. Can anyone help?",4,male,"Helsinki, Finland",2017-06-30,positivo,2
8118,"You know what? You actually fixed sub issues, there are a lot of problems but none of them were as bad as sub renewal, now you must fix playlist covers not working correctly, cant make folder in playlist, never saw news about artists i follow and more",4,female,"São Paulo, Brazil",2019-11-28,positivo,1
8119,Should be available for Android TV,4,male,"Ho Chi Minh City, Vietnam",2017-12-09,positivo,2
8120,I love my apple music but it's not the same on my android device as it is in my iphone.,4,male,"Philadelphia, United States",2018-12-12,positivo,2
8121,"I switched from Tidal and it was almost perfect up until a few months ago when I started getting weird volume glitches. Switching apps will drop the volume to -50 unless I pause the song and then play it. Besides that issue I can't recommend this app enough, it truly it's the best thing to come from Apple since the iPod.",4,male,"Mombasa, Kenya",2018-06-29,positivo,2
8122,Sonice,4,male,"Tijuana, Mexico",2019-07-17,positivo,2
8123,"I love the app but it crashes every time I open it. Please, fix this apple.",4,male,"Windhoek, Namibia",2018-04-12,positivo,2
8124,apple music is good,4,male,"Madrid, Spain",2017-06-28,positivo,2
8125,not able change track to next one from ear phone(bug),4,female,"Santiago, Chile",2019-09-08,positivo,0
8126,Good,4,male,"Bangkok, Thailand",2017-12-25,positivo,0
8127,Good app,4,female,"Medellín, Colombia",2020-01-07,positivo,0
8128,"I love it. I really hate that it appears in my pull down menu at the top. I turn off notifications and it's still there,.plz fix.",4,female,"Gold Coast, Australia",2020-04-30,positivo,0
8129,"Lossless at this price? Count me in! The audio quality and collection is epic! 1 star subtracted for some UI/UX shenanigans. what do you mean I can't swipe left/right on the player screen to switch between songs? And it's also a pain to subscribe to the plan, you have to load money to your wallet and keep it filled with enough money for the next billing cycle.",4,male,"Lahore, Pakistan",2017-12-15,positivo,1
8130,"The Best Of All💯 Trust, there's this way it's switched smoothly to the next 🥷🔥",4,male,"Tijuana, Mexico",2018-09-25,positivo,2
8131,"Have to use an android device cause I killed my iPhone... This android 
version of the app is a shame! Stops all the time after each song, gets 
killed every time I try to change the EQ while listening to music. Meh...",4,male,"Quebec City, Canada",2018-12-28,positivo,0
8132,"Interface um pouco confusa, spotify ganha muito. Qualidade de som impecável (Hi-res)",4,female,"Asunción, Paraguay",2019-12-04,positivo,2
8133,Good,4,male,"Guadalajara, Mexico",2018-10-02,positivo,0
8134,Right,4,male,"Tokyo, Japan",2017-12-07,positivo,0
8135,Sound quality is better than Spotify when it's playing but there seems to be a wired thing where it sounds like to goes from wide stereo to like mono for a while then comes back to normal again. Then sometimes it gets quiet where volume is like very low and then gets loud again even while playing the same song. Only seems to do this on the Android version not on my iPhone 13 pro.,4,male,"Rabat, Morocco",2018-07-07,positivo,0
8136,Ok yap but.....,4,female,"Quito, Ecuador",2019-12-22,positivo,0
8137,Maaasssa,4,female,"Bogotá, Colombia",2020-01-14,positivo,2
8138,Frustrating sometimes,4,female,"Cancun, Mexico",2019-08-23,positivo,0
8139,"Generally good, but the ui is obviously an iPhone app hastily ported to android.",4,female,"São Paulo, Brazil",2019-11-14,positivo,0
8140,"WILL GIVE YOU FULL OF 5 STAR IF YOU FIX THE CUSTOM EQ BUG. Device tested on Xiaomi Poco X6, custom EQ after being activated on one song, the next song back to default EQ/ EQ is not active during the next song session.",4,male,"Dublin, Ireland",2017-05-16,positivo,1
8141,"Sound quality is better than Spotify's highest quality option on premium, 99% of the same songs with better quality, and it's cheaper too. Only thing that could be better is it's interface, I liked that the search button was in the middle on Spotify, and sometimes I can't get back to my library without restarting the app but I am also only on android",4,male,"Ho Chi Minh City, Vietnam",2018-01-25,positivo,2
8142,i only have one minor issue. 1: i would like the option to play later like on my iPod so i can queue albums. EDIT: it would appear notification control problems are not isolated to Apple Music. i have thus updated my review,4,male,"Houston, United States",2019-05-25,positivo,0
8143,This app is very good to use,4,male,"Madrid, Spain",2017-09-17,positivo,0
8144,"There are just a few things here and there that are a bit janky on android. Also the queue is a problem. If I play an album, then the play next option puts the items after the current song and not the end of the album.",4,male,"Osaka, Japan",2018-01-02,positivo,1
8145,Good app,4,male,"Jacksonville, United States",2019-02-02,positivo,0
8146,"just recently switched to apple music, it wouldve been a 5 star if only the app doesn't auto play the next song and skip the current one whenever the internet's slow. developers, please fix that. it's annoying whenever it does skip songs i am listening",4,female,"Gold Coast, Australia",2020-03-26,positivo,1
8147,Great music app love it.,4,male,"Denver, United States",2018-09-08,positivo,2
8148,Would love to see translated music lyrics like how it exists for some songs in Spotify,4,male,"Cancun, Mexico",2019-05-21,positivo,2
8149,"Good music app. When adding songs to playlists, I wish the search function would show all playlists because it does not show the ones in folders even though the search bar in ""playlists' category does. Also would like it to be more clear which playlists a song is already added to (like Spotify)",4,female,"Córdoba, Argentina",2019-10-25,positivo,1
8150,"Great app 👍 But I think improvement is needed in the next play area ⏯️, I feel like Spoti** is better in song suggestion although""creat station"" is good, thank you!",4,male,"Guadalajara, Mexico",2019-07-17,positivo,0
8151,I like the hi-res Lossless. But when you click on the artist shown below song it wrongly directs to another artist.,4,male,"Dallas, United States",2019-05-07,positivo,0
8152,the music stutters at times,4,female,"Auckland, New Zealand",2020-06-02,positivo,2
8153,This app is amazing,4,male,"Rabat, Morocco",2018-04-05,positivo,0
8154,"App is great and is probably the only time I've seen Apple treat Android users not like poop. Audio quality is superb comparing it to Spotify and yt music and has a very clean and easily navigateable user interface with that ""apple magic"" that I've come to love on my mac. Though I would like to see some other features like the new karaoke mode in the ios version and a wearos varient of the app on the Android version soon",4,male,"Vancouver, Canada",2018-09-28,positivo,0
8155,songs recommendation is terrible,4,male,"Cape Town, South Africa",2018-04-07,positivo,1
8156,Great,4,female,"Port Moresby, Papua New Guinea",2020-03-02,positivo,1
8157,"Apple is the last company I want to win the music streaming war. But they deserve to. The android app is solid (and now their Windows app too), the content is extensive, browsing is easy, they have CD-quality audio, and for a good price. I don't know why Apple moved to lossless after killing the headphone jack, but on my LG phone it sounds comparable to Tidal. Hardcore audiophiles will still want to go with Qobuz. Negatives are a) frequent buffering issues and b) autoplay keeps turning back on.",4,female,"Sydney, Australia",2020-05-19,positivo,1
8158,"great music app, I use it religiously my only complaint is that for radio stations you create there is no like or dislike mechanic to give you more songs similar to what you like.",4,female,"Hobart, Australia",2020-02-16,positivo,1
8159,Not use to having trouble on Apple music but I haven't been able to play music in two days. I don't know what's up but gotta fix this!!,4,female,"Port Moresby, Papua New Guinea",2020-03-09,positivo,0
8160,not as good as spotify but my wife has the family account,4,female,"Quito, Ecuador",2019-10-04,positivo,0
8161,great app!,4,male,"Ottawa, Canada",2019-06-17,positivo,1
8162,I like it so far.,4,female,"Córdoba, Argentina",2019-10-29,positivo,0
8163,", 3 ZZ er x4x xx",4,female,"Fortaleza, Brazil",2019-10-13,positivo,0
8164,A little bit of bass will do perfect but other wise credits to the app,4,male,"Cairo, Egypt",2018-03-01,positivo,1
8165,Please implement exclusive mode for bitperfect to bypass android 48khz resample,4,male,"Monterrey, Mexico",2018-08-19,positivo,1
8166,"A little more expensive than spotify, but worth it for me. Better selection and interface for non-english music, much more stable app, more consistent UI, doesn't delete my downloads on me like Spotify did. Connectivity across devices and recommendations algorithm don't hold a candle to spotify though, and lacks any equivalent to the ""social network"" elements of Spotify. Those features are secondary to the experience of just downloading and listening to music for me personally, but still a shame",4,male,"San Francisco, United States",2019-07-26,positivo,0
8167,Doesn't let me hear censored lyrics,4,male,"Bali, Indonesia",2018-02-06,positivo,2
8168,ui needs some work,4,male,"Houston, United States",2019-05-14,positivo,0
8169,please provide bit perfect audio option like tidal music app for android,4,female,"Caracas, Venezuela",2019-11-02,positivo,2
8170,"Works great on my S24 Ultra, though the casting features never seem to work. I sometimes try to cast to a Samsung TV with the Apple Music app, and to music share on Apple Music on a friend's Apple Car Play, and I get stuck in loading limbo.",4,female,"Adelaide, Australia",2020-06-17,positivo,0
8171,Love the app well recorded but at the min its saying it's not installed when it is kinda confused,4,male,"Warsaw, Poland",2017-05-03,positivo,1
8172,Notice short hiccups/slight pauses during a song playing even when songs are downloaded. I have a galaxy S22 U,4,male,"Cairo, Egypt",2018-03-06,positivo,1
8173,good,4,male,"Hamburg, Germany",2017-07-19,positivo,0
8174,nice but there are some missing songs,4,male,"Addis Ababa, Ethiopia",2018-03-09,positivo,0
8175,"Almost perfect. App is great and audio quality is great. But one thing I noticed is that the infinity button is broken currently. So after you finish an album, the music doesn't keep going....PLEASE FIX!",4,male,"Guadalajara, Mexico",2019-01-08,positivo,1
8176,"song collection are very less and search result is not so intelligent, this is my feedback rest I am big fan of apple 🍎",4,male,"Phoenix, United States",2019-01-08,positivo,1
8177,Mid,4,male,"Brussels, Belgium",2017-08-09,positivo,0
8178,Only for iphone it's nice app,4,male,"Kathmandu, Nepal",2017-11-26,positivo,0
8179,"if you like music, you need this app that's all",4,male,"Delhi, India",2017-10-16,positivo,2
8180,"For being you know, *apple* music it's surprisingly good on android all things considered. Only reason I'm not giving it 5 stars is because it can be a bit buggy occasionally, sometimes only one song on albums will load or music won't play. Would love if some of those issues could be fixed but for the most part it's a good app.",4,male,"Phoenix, United States",2019-06-30,positivo,0
8181,UI could be better.,4,female,"Buenos Aires, Argentina",2019-09-11,positivo,0
8182,Con las actualizaciones han mejorado el rendimiento y la estabilidad de la app. En general es un buen servicio y diría que más que competitivo para las otras opciones de streaming. Lo que podría mejorarse es el buscador y las recomendaciones. En ese sentido Spotify me sigue pareciendo mejor.,4,male,"Cancun, Mexico",2018-09-29,positivo,1
8183,I use this app on my apple device but can't even download it on my android phone. Its not downloading at all,4,male,"San Jose, United States",2019-08-08,positivo,1
8184,The resing I don't know I've not tryd it,4,male,"Seville, Spain",2017-07-26,positivo,0
8185,Cant redeam iTunes CARD ???,4,male,"Dallas, United States",2018-08-27,positivo,1
8186,Great app with lossless support but the recommendation system of Spotify's is way better,4,male,"Birmingham, United Kingdom",2017-05-30,positivo,0
8187,lately when listening to music on Apple music only the volume decreases randomly.,4,female,"Fortaleza, Brazil",2019-10-02,positivo,2
8188,"Good app, should have a free teir tho.",4,male,"Los Angeles, United States",2018-09-03,positivo,0
8189,"It's overall a great app, music quality is amazing, it's visually pleasing, 9/10, only problem is that it doesn't have the proper algorithm for its users. for example, I listen to Nicki Minaj, it won't give me recommendations on new music that's similar to her. And sometimes randomly the audio will go up if I'm on another streaming platform but that might just be my phone.",4,male,"Washington DC, United States",2019-08-15,positivo,0
8190,"If gapless playback gets added, it'll be perfect. It's one thing Spotify does better",4,male,"Chicago, United States",2018-09-08,positivo,1
8191,"Apple music has superior music quality compared to apps like spotify. Dolby atmos support is also great. the lyric feature is aesthetically pleasing and the app works well on a whole. 2 things which I believe need changing are: the queuing shortcut shouldn't require aswipe across the whole screen, it has often happened when I've not swiped all the way across and it hasn't registered to add the song to the queue; another issue being that on samsung tablet, lyrics aren't fullscreen like web.",4,male,"Tel Aviv, Israel",2017-12-03,positivo,0
8192,great ..just sometimes doesn't work without vpn!.. family sharing cannot be started on android,4,female,"Bogotá, Colombia",2019-09-20,positivo,0
8193,Cast still not working what is this......,4,female,"Adelaide, Australia",2020-06-09,positivo,0
8194,Need screen to rotate like iPhone plus allows to do same on Samsung phones,4,female,"Perth, Australia",2020-02-26,positivo,0
8195,It has almost all my favorite songs on it,4,female,"San Francisco, United States",2019-08-29,positivo,2
8196,Love it.,4,male,"Jacksonville, United States",2019-08-02,positivo,2
8197,Cool,4,male,"Seville, Spain",2017-06-22,positivo,0
8198,Wow,4,male,"Calgary, Canada",2018-12-15,positivo,0
8199,"Decent, still great sound quality. App is more functional on iOS, but it's still better in Android than on windows. Just wish we could navigate tracks on the standby screen",4,male,"Amsterdam, Netherlands",2017-05-04,positivo,1
8200,"The app runs smoother than other music streaming platforms I've subscribed to. Much less buffering than I've been accustomed to. Audio quality is fantastic, but who needs animated thumbnails? I subscribed because I'm a Walmart + member and there is a deal.",4,male,"Toronto, Canada",2019-05-14,positivo,1
8201,vary god,4,male,"Boston, United States",2019-08-16,positivo,1
8202,"Been using it for years, back when it was iTunes. Can't say I agree with some of the changes but it does what it's supposed to. Most of the time. My main issues are that it never updates the new 'For You' section, which is where I get a lot of recommendations these days. This section works fine on my PC but the app has the same suggestions from months ago. Also adding things to the queue needs to be done before the previous song is halfway done or it will freeze/crash the whole app.",4,male,"Tokyo, Japan",2018-02-03,positivo,0
8203,amazing and has almost every song but could have more,4,male,"Washington DC, United States",2018-07-30,positivo,0
8204,"This is the best music streaming service ive found. The lossless audio is great, i love the UI, and it feels near-flawless. But there is a couple things i would like. Sometimes when a song starts it kind of skips like a bad cd player when its bumped too hard. Also an android tv app would be the dream!",4,male,"Dallas, United States",2019-03-31,positivo,0
8205,"Apple has done a good job in providing top-notch music listening experience with lossless and spatial audio. The lyrics shown during music play are also accurately synced and available in multiple languages. 1 star less because recommended songs, albums, recent hit lost not good enough. it's not suggesting good songs. I like Spotify music suggestion way better.",4,male,"Harare, Zimbabwe",2018-06-10,positivo,0
8206,the app is soooo good but it needs payment so 4 stars,4,male,"Washington DC, United States",2019-01-28,positivo,0
8207,Love the music content and always has music for any mood im in! The app since the update keeps on crashing on my phone since last night and the pop up message I get says it has a bug????,4,female,"São Paulo, Brazil",2020-01-17,positivo,0
8208,the app is good i am enjoying the subscription but there is a problem i can't share lyrics to snapchat as i can send on Instagram stories pls also add support for snapchat,4,male,"Seattle, United States",2018-07-20,positivo,0
8209,"It's great, though it has an issue where Bluetooth devices get disconnected on my Pixel Fold whenever I play music on the app",4,male,"Mexico City, Mexico",2019-01-22,positivo,0
8210,This service very good and surprisingly cheap. But I have issues accessing the full feature set of the account I created with it.,4,male,"Boston, United States",2018-07-26,positivo,0
8211,It shouldn't take a whole damn day to load all my playlists when the app crashes for no reason. Fix this! I have the fastest internet. It shouldn't take this long via my phone,4,male,"Ottawa, Canada",2019-05-27,positivo,1
8212,good app,4,male,"Copenhagen, Denmark",2017-05-25,positivo,0
8213,good but lot of glitches for android,4,female,"Rio de Janeiro, Brazil",2019-10-10,positivo,0
8214,Sometimes works slowly,4,female,"Auckland, New Zealand",2020-04-15,positivo,0
8215,Please fix the bug with playlist covers... The app never shows it permanently and always has to be loaded again.,4,male,"Shanghai, China",2018-01-24,positivo,1
8216,"Very good music app, the only downside is that you can't connect to ps5 like you can on Spotify",4,male,"Hong Kong, China",2017-11-23,positivo,0
8217,i love the app but it still has some issues with loading stuff,4,male,"Phoenix, United States",2019-05-02,positivo,0
8218,"la calidad de las canciones está muy bien, pero a la aplicación le hace falta ser mas intuitiva y mejorar otro aspectos. Ademas se pega mucho en. buffering",4,male,"Algiers, Algeria",2018-05-10,positivo,1
8219,I wish this showed the number of streams music have & the monthly listeners of artists.,4,male,"Busan, South Korea",2017-12-13,positivo,1
8220,Good app,4,female,"Santiago, Chile",2019-12-19,positivo,0
8221,good 👍,4,female,"São Paulo, Brazil",2019-09-12,positivo,0
8222,App just started crashing.... what could i do to fix this,4,male,"Phuket, Thailand",2017-12-27,positivo,0
8223,"The all crashes, good stuff tho",4,male,"Austin, United States",2019-02-05,positivo,0
8224,I love the lossless quality so much and I'm glad that we have apple music on Android phone but can you pls release apple music also on Galaxy watch ?Thank you!,4,male,"Barcelona, Spain",2017-05-29,positivo,2
8225,not bad,4,male,"New York, United States",2018-11-30,positivo,0
8226,a really good option for music lovers,4,male,"Helsinki, Finland",2017-08-22,positivo,0
8227,"Just started using the app and service, and so far so good. Audio quality is good, and for the most part I find the app easy to use. As of now, my only real nitpick is that the battery on my phone seems to drain a little quicker using this app/service than the others I have tried. It's not a terrible drain, but definitely can stand to be improved.",4,male,"Brussels, Belgium",2017-06-08,positivo,0
8228,Bug report: when a sub is renewed the app is full bugy lose all settings and have heavy bugs with music previously downloaded. And sometimes the library is buged and not show anything. The space in memory of old downloads doesnt update and doesnt playback but the files are here. i dont know how this passes the quality control of apple. The quality of sound is amazing!,4,male,"Athens, Greece",2017-06-20,positivo,0
8229,"Really enjoy the "" Create Station "" option Need to add podcast player to the app",4,female,"Melbourne, Australia",2020-04-03,positivo,2
8230,Saniya A,4,female,"São Paulo, Brazil",2019-09-23,positivo,2
8231,"Used and liked for +10 years. REQUESTS -1. add an obvious place for app requests. 2 Enable blocking of songs/ artists / albums. PLEASE!! I can't stand the song Grenade by Bruno Mars but love a few of his other songs. I never want to hear Grenade ever again, but it keeps popping into playlists. I am sure others have songs they never want to hear again. we shouldn't only have the option to ""Like"" music.",4,male,"Monterrey, Mexico",2019-03-01,positivo,0
8232,Been great except it just broke on me,4,male,"Boston, United States",2019-04-18,positivo,1
8233,quite good but few bugs and crashes randomly sometimes,4,male,"New York, United States",2018-09-09,positivo,0
8234,"Music selection is alright. Not nearly what Spotify provides. Missing a lot of the rare and older stuff. Won't play on my Echo 8 either which sucks. Overall it has a majority of the albums and singles I want, but could DEFINATELLY expand their library significantly and tweak a few functions of the app. Other than that it's pretty chill I guess.",4,male,"Hamburg, Germany",2017-07-17,positivo,1
8235,"The audio quality is superior to that of other services. The payment system has been enhanced for Android users, and the app now integrates with the Google Play Subscription Manager. However, the recommendation algorithm appears to be flawed. While it requests preferences during initial setup, geographic location seems to heavily influence recommendations. Therefore, if you wish to avoid local or Hindi music, the app may persistently suggest it.",4,male,"Vancouver, Canada",2019-01-24,positivo,0
8236,Great app. Some issues on Android that makes it so you occasionally can't see the current songs playing. But probably the widest selection of on-demand music aside from YouTube.,4,male,"Stockholm, Sweden",2017-09-22,positivo,1
8237,Love this app. So far I find it better than most music apps.,4,male,"Guadalajara, Mexico",2019-05-03,positivo,2
8238,"Great app. Spotify premium Hi-Fi or Tidal Master are better choices, unless you use Apple Music premium. My only complaint, is that even on the latest beta, they still haven't included iTunes Match with any Android phone. That can only work on a iPhone or iPad. Since Apple includes Spatial Audio, and supports lossless audio, but hasn't released a Android version of iTunes is a bummer.",4,male,"Kuala Lumpur, Malaysia",2017-12-08,positivo,2
8239,this app helps me me a lot,4,female,"Melbourne, Australia",2020-06-21,positivo,2
8240,"it's pretty great except that it ignores that my mobile wifi hotspot is set to metered (I use lossless on wifi which consumes insane amounts of data). YouTube Music streams with fewer skips on road trips with spotty coverage. Other than that, I really love this app. It works like on iPad OS, I don't feel it's scaled down though it probably is in unnoticeable ways.",4,male,"Stockholm, Sweden",2017-05-05,positivo,0
8241,Good,4,male,"Philadelphia, United States",2018-12-21,positivo,0
8242,Where did the download option go?,4,female,"Lima, Peru",2020-01-22,positivo,1
8243,use full,4,male,"San Diego, United States",2019-06-26,positivo,0
8244,"it was going great until this month, that even after downloading songs, I still need Internet connection to play them. what's going on?",4,male,"Montreal, Canada",2019-04-18,positivo,1
8245,everything is super good except song recommendations.. recomend song is too bad,4,female,"San Jose, United States",2019-08-29,positivo,0
8246,recommendations are way not recommendable compared to Spotify.,4,female,"Montevideo, Uruguay",2019-10-07,positivo,2
8247,4 star cause it would be nice if the app had a commenting section!!,4,male,"Monterrey, Mexico",2019-01-27,positivo,0
8248,The sound and beat of songs àre marvellously good❤💯,4,male,"Lusaka, Zambia",2018-05-29,positivo,2
8249,fix your discovery system and you're good,4,male,"San Francisco, United States",2018-12-17,positivo,0
8250,Hope it will support SRC bypass.,4,male,"Cancun, Mexico",2018-07-24,positivo,0
8251,it was very loud witch i lick,4,male,"Dar es Salaam, Tanzania",2018-03-19,positivo,2
8252,Some songs are not present in the app.,4,male,"Marseille, France",2017-09-07,positivo,1
8253,it's been cutting out even with good wifi other then that great,4,male,"Athens, Greece",2017-05-08,positivo,1
8254,"I would give this app a 5 star rating, but I'm gonna give it a 4 only because there are some occasions where I'm not able to find certain songs that I would like to be able to stream and download. If I could stream and download every single song I searched for, then I would have given this app 5 stars.",4,male,"Tijuana, Mexico",2019-08-05,positivo,0
8255,I love the curated playlists and audio quality options we got. Adding to library and playlists is a bit slow on android and PC. I'd go for Apple music esp if im using an IEM or high quality speakers. There are some ifs here and there when playing music videos. But overall experience is great.,4,female,"Caracas, Venezuela",2019-12-10,positivo,2
8256,Hello Developers. please bring back Bengali lyrics for Bengali songs like it used to.People really do not like the Lyrics in english letters in a Bengali song. I hope this situation will change soon.,4,female,"Sydney, Australia",2020-03-07,positivo,1
